Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
2000			
 0-4	2.848878	2.859442	2.837855
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.245136	0.750359	1.758087
 20-24 	3.241552	2.462091	4.042639
 25-29 	3.640810	3.137512	4.153513
 30-34 	3.316042	3.110934	3.525806
 35-39 	2.769056	2.692933	2.846117
 40-44 	2.202667	2.116005	2.289119
 45-49 	1.691902	1.554193	1.826630
 50-54 	1.263848	1.129040	1.397727
 55-59 	0.943616	0.888600	0.996924
 60-64 	0.752981	0.812665	0.698019
 65-69 	0.708843	0.829608	0.603302
 70-74 	0.759393	0.803198	0.721062
 75-79 	0.348316	0.537731	0.175951
 80+ 	0.000000	0.000000	0.000000
Total	1.773943	1.580041	1.971915
2001			
 0-4	2.814272	2.824903	2.803179
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.138932	0.686208	1.606055
 20-24 	2.962300	2.249971	3.688004
 25-29 	3.325052	2.866790	3.789023
 30-34 	3.028417	2.842406	3.217294
 35-39 	2.528311	2.460700	2.596592
 40-44 	2.010837	1.933127	2.088132
 45-49 	1.547375	1.422722	1.668309
 50-54 	1.153061	1.030320	1.273956
 55-59 	0.861858	0.812235	0.910074
 60-64 	0.687687	0.742701	0.636950
 65-69 	0.646773	0.758213	0.550767
 70-74 	0.693007	0.734207	0.658026
 75-79 	0.312772	0.490386	0.158312
 80+ 	0.000000	0.000000	0.000000
Total	1.655846	1.478787	1.835861
2002			
 0-4	2.746999	2.757521	2.736022
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.040396	0.626477	1.465720
 20-24 	2.704321	2.052898	3.361533
 25-29 	3.033582	2.615428	3.453425
 30-34 	2.763031	2.593555	2.933606
 35-39 	2.305622	2.244956	2.366695
 40-44 	1.833790	1.763682	1.903299
 45-49 	1.412501	1.299381	1.521528
 50-54 	1.051642	0.939521	1.160848
 55-59 	0.786110	0.741189	0.829864
 60-64 	0.627277	0.677709	0.580664
 65-69 	0.589564	0.691894	0.502385
 70-74 	0.631611	0.670124	0.599942
 75-79 	0.280542	0.446638	0.142748
 80+ 	0.000000	0.000000	0.000000
Total	1.541603	1.379628	1.705507
2003			
 0-4	2.652464	2.662679	2.641809
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.953291	0.573810	1.342321
 20-24 	2.477806	1.879607	3.075867
 25-29 	2.778275	2.394468	3.159551
 30-34 	2.530583	2.375167	2.685405
 35-39 	2.110058	2.055074	2.165181
 40-44 	1.678692	1.614984	1.741646
 45-49 	1.293131	1.189913	1.392215
 50-54 	0.963710	0.860621	1.062703
 55-59 	0.719343	0.678474	0.759200
 60-64 	0.574308	0.620565	0.531418
 65-69 	0.539652	0.633564	0.459971
 70-74 	0.577566	0.613699	0.548796
 75-79 	0.253060	0.408517	0.129995
 80+ 	0.000000	0.000000	0.000000
Total	1.436188	1.287151	1.586283
2004			
 0-4	2.135149	2.142861	2.127104
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.873735	0.526071	1.230000
 20-24 	2.272327	1.722967	2.817364
 25-29 	2.547407	2.194760	2.893287
 30-34 	2.319915	2.177620	2.460052
 35-39 	1.932564	1.882843	1.982105
 40-44 	1.538361	1.480592	1.595255
 45-49 	1.184585	1.090458	1.274764
 50-54 	0.884776	0.789977	0.974324
 55-59 	0.658630	0.621511	0.694779
 60-64 	0.526439	0.568905	0.486887
