Need for ART by age			
	Ghana		
 	Total	Male	Female
 60-64 	722.613706	324.309524	398.304182
 65-69 	424.108204	199.084189	225.024015
 70-74 	254.646186	129.492855	125.153332
 75-79 	152.974756	77.103764	75.870993
 80+ 	52.003873	30.202020	21.801853
Total	43733.649776	19934.433012	23799.216764
2003			
 0-4	14019.287403	7176.470116	6842.817287
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	371.882388	185.908747	185.973641
 20-24 	639.588790	189.011996	450.576794
 25-29 	3734.311102	1257.930879	2476.380223
 30-34 	6148.708862	2366.208099	3782.500763
 35-39 	6447.156914	2778.377022	3668.779892
 40-44 	4829.611542	2249.792049	2579.819492
 45-49 	3812.213497	1820.273354	1991.940144
 50-54 	2318.801311	1089.923836	1228.877476
 55-59 	1368.083149	627.094893	740.988256
 60-64 	745.073985	333.811271	411.262714
 65-69 	436.826993	203.149675	233.677318
 70-74 	266.889696	132.733532	134.156163
 75-79 	159.617969	78.531112	81.086857
 80+ 	57.504075	32.041488	25.462587
Total	45355.557676	20521.258068	24834.299609
2004			
 0-4	12658.591646	6478.606146	6179.985501
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	469.074847	235.481066	233.593781
 20-24 	640.534346	192.161360	448.372986
 25-29 	3755.297506	1247.644839	2507.652667
 30-34 	6323.262231	2398.693007	3924.569225
 35-39 	6773.978258	2883.749321	3890.228937
 40-44 	5120.455940	2358.698289	2761.757651
 45-49 	4028.727018	1911.648815	2117.078203
 50-54 	2360.649527	1098.931619	1261.717908
 55-59 	1398.390151	640.278471	758.111680
 60-64 	762.862055	341.758040	421.104015
 65-69 	441.223026	204.303856	236.919169
 70-74 	276.505733	134.551865	141.953868
 75-79 	164.631983	78.969703	85.662280
 80+ 	62.731774	33.513486	29.218287
Total	45236.916041	20238.989883	24997.926158
2005			
 0-4	11728.800312	6002.713981	5726.086330
 5-9	2.573767	1.332542	1.241225
 10-14 	0.000000	0.000000	0.000000
 15-19 	582.567026	293.530506	289.036521
 20-24 	644.203459	198.246012	445.957447
 25-29 	3749.418064	1228.364965	2521.053099
